Date,AORDS,BHP,CBA
15/02/2016,3.902819191,9.597263522,0.1362743
22/02/2016,-1.269929009,-6.337525394,-1.059409355
29/02/2016,4.081309599,12.52386024,6.857804868
7/03/2016,1.420617916,-0.340132465,0.828354584
14/03/2016,0.277138212,3.948104511,2.31681989
21/03/2016,-1.688049934,-6.269864411,-4.367292118
28/03/2016,-1.521735973,-0.1766203,-2.476285544
4/04/2016,-1.105855739,-4.767116045,-3.102844663
11/04/2016,4.025110503,17.52923252,5.819406752
18/04/2016,1.42733496,5.450385142,0.053337207
25/04/2016,0.316523828,1.559507884,-1.54438462
2/05/2016,0.798162437,-11.35611424,0.620605097
9/05/2016,0.701073218,-1.418442582,4.007390315
16/05/2016,0.349635282,3.509143417,0.938866615
23/05/2016,1.001395575,2.721263594,0.993519499
30/05/2016,-1.421470669,-4.433461058,-4.074291006
6/06/2016,-0.016689422,1.44658147,-0.343814813
13/06/2016,-2.693802757,-3.905064365,-4.69177326
20/06/2016,-1.06311643,-3.03220414,0.746909475
27/06/2016,2.551521475,8.468047057,1.721359661
4/07/2016,-0.214231602,-0.209753144,-1.942071434
11/07/2016,3.593687769,6.699630456,4.759904686
18/07/2016,1.158392434,-5.395815248,1.567831358
25/07/2016,1.242632005,1.133415539,0.271873595
1/08/2016,-1.040115908,2.579172854,-1.563566478
8/08/2016,0.726012293,3.193600393,-0.184007566
15/08/2016,-0.015995859,2.907028496,-3.42600117
22/08/2016,-0.320490274,-1.944571976,2.705555316
29/08/2016,-2.469881897,-5.058779048,-3.260326774
5/09/2016,-0.551734914,5.489391555,-0.05644052
12/09/2016,-0.808327662,-3.376872253,1.914669654
19/09/2016,2.23365309,6.922503362,1.593000142
26/09/2016,0.119525845,3.872050007,-1.371758911
3/10/2016,0.420813982,4.028553845,2.698092605
10/10/2016,-0.542153673,-3.316172406,0.268524986
17/10/2016,-0.083392522,2.194024064,0.42813747
24/10/2016,-2.627668501,-0.260745363,-2.912486718
31/10/2016,-2.027524862,-3.138382903,-2.44899706
7/11/2016,3.42713534,11.32324338,6.529542768
14/11/2016,-0.351295601,-3.426103546,1.415139589
21/11/2016,2.600619375,9.493280373,1.690000413
28/11/2016,-1.22640909,-5.746925145,0.548608486
5/12/2016,2.036329321,3.765160426,2.599488291
12/12/2016,-0.465836548,-3.845133748,0.482292429
19/12/2016,1.516254828,-1.491063305,1.760863221
26/12/2016,0.772326586,1.7307709,-0.109138011
2/01/2017,1.559697152,1.740557786,2.065637647
9/01/2017,-0.555857661,3.203061252,-0.321470749
16/01/2017,-1.168334536,0.075930242,-2.756451001
23/01/2017,0.974272459,4.344474328,1.701561486
30/01/2017,-1.627930395,-4.915371381,-1.579059899
6/02/2017,1.731941775,-1.228890746,1.482602924
13/02/2017,1.366323139,2.894331569,2.959379956
20/02/2017,-1.101586141,-6.114093048,-2.81473537
27/02/2017,-0.198922429,1.111129222,2.55938056
6/03/2017,0.617962243,-6.817573563,1.550409959
13/03/2017,0.508061683,6.954926182,0.319029812
20/03/2017,-0.768244588,-2.362630738,-1.653343632
27/03/2017,1.841088386,-0.910974837,2.989192662
3/04/2017,-0.020322995,2.262063438,-1.33584903
10/04/2017,0.393960927,-1.145194479,1.73082045
17/04/2017,-0.68238514,-1.116868959,-0.709772523
24/04/2017,1.047908703,-1.340065813,2.034302
1/05/2017,-1.418996898,-4.748409058,-3.492790801
8/05/2017,0.121010304,4.874800665,-3.288077132
15/05/2017,-1.752652326,2.207059666,-1.778896669
22/05/2017,0.401353294,-1.118262006,-0.112260074
29/05/2017,0.499432711,0.249576192,0.299043722
5/06/2017,-1.830748167,-2.226526152,-1.491542107
12/06/2017,1.605449504,-2.364164922,3.316057363
19/06/2017,-0.923672551,-2.555205911,-0.747978841
26/06/2017,0.163212613,3.808734713,1.901793509
3/07/2017,-0.349327308,5.474526065,-0.824547187
10/07/2017,1.121842218,2.172246824,1.198210808
17/07/2017,-0.647676229,-2.579766973,1.017407693
24/07/2017,-0.277623711,3.372474825,-0.250384369
31/07/2017,0.313997916,1.527939792,-3.696918847
7/08/2017,-0.51750264,-0.663158698,-0.272934298
14/08/2017,0.953048281,-0.628185422,-1.767072608
21/08/2017,0.08446724,4.95589066,1.124225469
28/08/2017,-0.298542937,2.735848834,-2.924497401
4/09/2017,-0.810384826,-0.475235807,-3.012589721
11/09/2017,0.285335001,-1.919433644,4.066906493
18/09/2017,-0.264425663,-1.187525038,0.444749932
25/09/2017,0.074873609,-0.657252121,-1.804234065
2/10/2017,0.564124988,3.168792798,1.385702636
9/10/2017,1.840205796,-0.943932609,0.470728959
16/10/2017,1.415661497,1.206657206,2.968772942
23/10/2017,0.011722447,-0.337907672,-0.928682904
30/10/2017,1.016709348,4.053602281,-0.576826389
6/11/2017,1.219668052,1.363001748,3.858255155
13/11/2017,-1.087092585,-3.442990521,0.086558291
20/11/2017,0.409875352,3.086103135,-0.43346184
27/11/2017,0.204305376,-1.404157529,-1.75288422
4/12/2017,0.031266645,-1.497747755,0.566788296
11/12/2017,0.159483712,1.968006417,0.401102544
18/12/2017,1.30893153,4.89447902,0.561322077
25/12/2017,0,1.602209493,-0.062207202
1/01/2018,1.006709962,3.358575767,1.015501189
8/01/2018,-0.852790241,3.059345294,-0.345599543
15/01/2018,-0.935262741,-2.700261096,-1.306713344
22/01/2018,0.739182623,0.519986748,-1.4891795
29/01/2018,1.050469299,-0.129747472,2.684560099
5/02/2018,-4.805602889,-5.607075766,-5.78358833
12/02/2018,1.127094756,7.885370876,-2.968221618
19/02/2018,1.658178207,-2.701121474,4.582957901
26/02/2018,-1.265927969,-3.482379074,0.357166981
5/03/2018,0.672872074,-4.521895085,1.494139194
12/03/2018,-0.234249464,5.351435137,-2.010467487
19/03/2018,-2.101228068,-1.346468456,-3.415785594
26/03/2018,-1.018835867,-1.965669207,-0.689102485
2/04/2018,0.306232062,1.512774423,1.618711734
9/04/2018,0.640055907,3.735238373,-0.450045407
16/04/2018,0.667836156,3.730418778,-1.514991328
23/04/2018,1.307556565,0.806841319,-0.72422956
30/04/2018,1.844571647,1.214073833,1.690955498
7/05/2018,0.986121588,5.167430506,-3.112811491
14/05/2018,-0.41104892,2.73663048,-0.042548879
21/05/2018,-0.809286075,-3.008404525,-0.897625312
28/05/2018,-0.604330137,0.030232798,-1.688729102
4/06/2018,0.861283639,2.948844052,0.970537769
11/06/2018,0.784660379,-1.508245731,-0.563798487
18/06/2018,1.864771278,-3.147956592,6.835487902
25/06/2018,-0.513804112,4.185469749,-1.349421444
2/07/2018,1.043867292,-2.266726405,3.770464547
9/07/2018,-0.059811343,0.541527012,-1.089576538
16/07/2018,0.40065101,-1.268139085,1.393076346
23/07/2018,0.220850721,4.428002133,-0.714005589
30/07/2018,-1.023764412,-3.009971642,-3.414881717
6/08/2018,0.636561944,1.013417857,3.454664206
13/08/2018,0.928645617,-2.949347412,-1.469812164
20/08/2018,-1.068529538,-0.091683332,-1.592311852
27/08/2018,1.093418444,1.517017275,0.492507397
3/09/2018,-2.768293831,-5.923287701,-1.029975383
